		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
Cereais e derivados																								
131	Mandioca, farofa, temperada	1.9	2.4	2.5	Tr	0.03	1.26	0.54	0.03	0.02	0.01	131		0.04	2.38	0.02	2.29	0.19					0.49	0.14
132	Mandioca, frita	1.6961	2.771666667	6.182333333			1.195	0.3816666667	0.03233333333	0.05476666667	0.02133333333	132			2.725333333	0.04633333333	5.576	0.574						0.04266666667
133	Manjericão, cru	0.1293333333	Tr	0.2656666667			0.1123333333	0.017	Tr			133		0.01833333333	0.013		0.052	0.2136666667						
136	Nhoque, batata, cozido	0.5586666667	0.4746666667	0.778	0.02433333333	0.013	0.3983333333	0.1473333333	Tr	Tr	Tr	136		0.008666666667	0.466	Tr	0.7243333333	0.05366666667	Tr					
138	Palmito, Juçara, em conserva	0.1	Tr	0.1	Tr	Tr	0.07	Tr	Tr	Tr	0.01	138			0.03		0.09	0.01						Tr
141	Pão, de queijo, cru	3.4	3	4.1	0.08	0.29	2	0.74	0.03	0.03		141	0.03	0.08	2.92	 	3.67	0.36					0.63	0.12
151	Repolho, roxo, refogado	0.1933333333	0.284	0.6806666667			0.1516666667	0.04166666667	Tr	Tr	Tr	151			0.284	Tr	0.6086666667	0.072						Tr
153	Salsa, crua	0.08133333333	Tr	0.1956666667			0.08133333333	Tr	Tr	Tr	Tr	153		Tr	0.023		0.1083333333	0.08733333333			Tr			
		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
154	Seleta de legumes, enlatada	0.1243333333	0.2223333333	0.2113333333			0.09633333333	0.028	Tr	Tr	Tr	154			0.2223333333		0.1983333333	0.013					Tr	Tr
155	Serralha, crua	0.1	0.1	0.3	Tr	Tr	0.13	0.02	0.02	0.02	Tr	155		 	0.04		0.07	0.26						
156	Taioba, crua	0.2	0.1	0.4	Tr	Tr	0.18	0.04	0.02	Tr	0.01	156		0.02	0.05		0.12	0.25						
159	Tomate, molho industrializado	0.1	0.1	0.2	Tr	Tr	0.06	0.02	Tr	Tr	Tr	159		Tr	0.09	Tr	0.17	0.02					Tr	Tr
																								
Frutos e derivados																								
163	Abacate, cru	2.3	4.3	1.4		0.01	2.2	0.1	0.02			163		0.2	4.12	0.02	1.29	0.08						
166	Abiu, cru	0.3	0.1	0.1			0.3	0.03				166			0.11		0.1	0.02						
167	Açaí, polpa, com xarope de guaraná e glucose	0.7	1.9	0.3		Tr	0.58	0.07	Tr			167		0.07	1.88	Tr	0.3	0.02						
168	Açaí, polpa, congelada	0.7313333333	2.014	0.377		Tr	0.6566666667	0.06866666667	Tr			168		0.08333333333	1.930666667		0.354	0.023						
173	Ameixa, em calda, enlatada, drenada 	0.1	Tr	0.1			0.07	0.02	0.01			173			0.03	0.01	0.07	0.01						
174	Atemóia, crua	0.1	Tr	0.1			0.09	0.03	Tr	Tr	Tr	174			0.01		0.06	0.04						
191	Ciriguela, crua	0.2	Tr	0.1		0.01	0.11	0.02		Tr	Tr	191			0.02		0.07	0.03						
192	Cupuaçu, cru	0.4	0.2	0.1		Tr	0.37	0.04	Tr	Tr	Tr	192		0.01	0.2		0.03	0.09						
193	Cupuaçu, polpa, congelada	0.3	0.1	Tr		Tr	0.26	0.03	Tr	Tr	Tr	193		Tr	0.13	Tr	0.01	0.03					Tr	
196	Fruta-pão, crua	0.1	Tr	Tr			0.08	Tr	Tr	Tr	Tr	196			0.02		0.01	0.02						
197	Goiaba, branca, com casca, crua	0.05666666667	Tr	0.232			0.04033333333	0.01633333333	Tr		Tr	197			0.032		0.232	Tr						
200	Goiaba, vermelha, com casca, crua	0.05366666667	Tr	0.2566666667			0.03633333333	0.01733333333	Tr		Tr	200			0.04433333333		0.2566666667	Tr						
201	Graviola, crua	Tr	0.1	Tr			0.05	Tr				201			0.08		0.01	0.02						
204	Jaca, crua	0.1	0.1	Tr			0.09	Tr	Tr	Tr	Tr	204		Tr	0.07		Tr	0.02						
207	Kiwi, cru	0.05833333333	0.099	0.3486666667			0.03566666667	0.02266666667	Tr			207		Tr	0.099		0.06	0.2886666667						
221	Maçã, Argentina, com casca, crua	0.1	Tr	Tr		Tr	0.04	0.02	Tr	Tr	Tr	221		Tr	0.02		0.04	0.01						
223	Macaúba, crua	7.1	25.3	6.5		0.04	6.01	0.97	0.05			223		0.67	24.57	0.04	6.18	0.3						
228	Manga, Haden, crua	0.1	0.1	Tr	Tr	Tr	0.07	Tr	Tr	Tr	Tr	228		0.04	0.05	Tr	0.02	0.02						
230	Manga, polpa, congelada	0.1	0.1	Tr		0.01	0.07	Tr				230		0.03	0.05		0.01	0.02						
231	Manga, Tommy Atkins, crua	0.1	0.1	Tr	Tr	0.03	0.05	Tr	Tr	Tr	Tr	231		0.04	0.04	Tr	Tr	0.04					Tr	
232	Maracujá, cru	0.2203333333	0.2756666667	0.938			0.17	0.05033333333	Tr			232		Tr	0.2756666667		0.915	0.023						
